customer_id,application_id,application_seq,application_date,age,income,loan_amount,loan_term,num_credit_lines,num_delinquencies,utilization_rate,debt_to_income,credit_score,credit_risk,channel_online,channel_branch,prev_fraud_flag,employment_years,savings_balance,recent_transaction_count,default_flag,fraud_flag
12,21,3,2023-09-01,24,127353,284445,19,6,1,0.48,0.45,657,3,1,0,0,10,11535,4,0,0
13,22,1,2022-01-01,43,516572,52621,28,3,1,0.256,0.506,651,3,0,1,0,4,65849,25,0,1
13,23,2,2022-07-02,43,494262,73429,24,3,1,0.372,0.394,633,3,0,1,0,4,61093,18,0,0
14,24,1,2022-01-01,52,669108,463375,72,1,0,0.313,0.69,750,2,0,1,0,7,53839,2,0,1
14,25,2,2022-05-02,52,711976,356900,79,1,1,0.344,0.659,693,2,0,1,0,7,100924,12,1,0
15,26,1,2022-01-01,52,554917,184999,26,9,2,0.354,0.0,669,3,0,1,0,11,130165,4,1,0
16,27,1,2022-01-01,38,376352,659485,41,3,0,0.717,0.215,811,1,1,0,1,9,86991,3,0,0
17,28,1,2022-01-01,59,657239,28536,51,2,1,0.265,0.744,589,3,1,0,0,2,114184,16,1,0
18,29,1,2022-01-01,62,191227,173393,5,6,1,0.315,0.473,752,2,0,1,0,9,80409,12,0,0
19,30,1,2022-01-01,53,196101,184234,60,8,1,0.362,0.351,705,2,1,0,0,0,252985,1,0,0
19,31,2,2022-07-02,53,188495,353781,53,7,0,0.288,0.319,717,2,1,0,0,0,158678,2,0,0
20,32,1,2022-01-01,45,410270,252255,48,2,0,0.352,0.595,612,3,0,1,0,9,21025,7,0,0
20,33,2,2022-11-01,45,418451,303408,37,3,2,0.213,0.463,600,3,0,1,0,9,25439,0,0,0
21,34,1,2022-01-01,41,355897,57171,43,0,0,0.465,0.336,696,2,0,1,0,11,12989,8,0,0
21,35,2,2022-07-02,41,378753,61587,41,0,0,0.312,0.496,681,3,0,1,0,11,17987,5,0,0
22,36,1,2022-01-01,49,460526,50600,75,1,2,0.126,0.362,796,1,0,1,0,7,24192,4,0,0
23,37,1,2022-01-01,29,435940,44980,13,8,2,0.21,0.364,702,2,1,0,0,0,215987,7,0,1
23,38,2,2022-10-01,29,434151,50205,18,8,2,0.008,0.332,707,2,0,1,0,0,166452,15,0,0
23,39,3,2023-05-02,30,439581,48172,18,6,1,0.242,0.388,719,2,1,0,0,1,144963,6,0,0
24,40,1,2022-01-01,36,431883,312404,72,1,3,0.426,0.152,696,2,0,1,0,6,244487,0,0,0
24,41,2,2022-10-01,36,451275,145450,79,1,3,0.444,0.366,693,2,1,0,0,6,68527,3,0,0
25,42,1,2022-01-01,55,129587,36920,50,2,1,0.383,0.402,618,3,1,0,0,3,65394,1,0,0
25,43,2,2022-07-02,55,135517,33534,44,1,0,0.328,0.396,610,3,1,0,0,3,34082,1,0,0
26,44,1,2022-01-01,41,932657,127548,19,6,1,0.595,0.44,719,2,1,0,0,4,82119,17,0,0
27,45,1,2022-01-01,51,594480,174524,26,1,2,0.318,0.442,819,1,1,0,0,5,24524,10,0,0
28,46,1,2022-01-01,43,367326,396690,61,8,0,0.0,0.367,747,2,0,1,0,9,277129,11,0,0
29,47,1,2022-01-01,62,392273,62719,46,6,1,0.827,0.574,631,3,0,1,0,6,53831,16,0,0
30,48,1,2022-01-01,52,297792,42967,70,1,1,0.566,0.724,700,2,0,1,0,11,277199,5,0,0
30,49,2,2022-09-01,52,305887,34183,69,3,0,0.324,0.648,714,2,0,1,0,11,281355,10,0,0
31,50,1,2022-01-01,53,279114,133156,19,7,0,0.439,0.294,593,3,1,0,0,0,54015,16,0,0
31,51,2,2022-05-02,53,270068,139316,16,7,1,0.466,0.417,600,3,0,1,0,0,171276,19,0,1
32,52,1,2022-01-01,40,549630,310457,35,6,0,0.153,0.428,726,2,1,0,0,11,426040,14,1,0
32,53,2,2022-06-02,40,554198,360170,37,8,0,0.117,0.423,738,2,1,0,0,11,236552,13,0,0
32,54,3,2023-09-01,41,647903,332287,38,6,0,0.158,0.378,752,2,0,1,0,12,424486,19,0,0
33,55,1,2022-01-01,29,863522,224941,25,3,0,0.269,0.37,660,3,1,0,0,6,34259,11,0,0
34,56,1,2022-01-01,66,821070,716872,42,2,0,0.235,0.354,755,2,1,0,0,8,17942,0,0,0
35,57,1,2022-01-01,26,134238,272387,25,9,0,0.951,0.0,741,2,1,0,0,7,63741,17,1,0
36,58,1,2022-01-01,46,399693,390073,41,6,0,0.397,0.595,657,3,1,0,0,3,20754,1,0,0
37,59,1,2022-01-01,53,307310,44279,16,8,1,0.714,0.227,584,3,0,1,0,9,180360,0,0,0
38,60,1,2022-01-01,21,146300,300697,50,3,1,0.047,0.29,708,2,1,0,0,6,38205,14,0,0
39,61,1,2022-01-01,22,337700,46210,59,8,2,0.502,0.353,740,2,0,1,0,4,17854,17,0,0
40,62,1,2022-01-01,51,877595,130769,48,7,0,0.038,0.0,610,3,1,0,0,7,58002,0,0,1
40,63,2,2022-09-01,51,840032,224928,51,7,0,0.141,0.028,610,3,1,0,0,7,98688,5,0,0
41,64,1,2022-01-01,22,570433,119220,24,9,0,0.282,0.844,679,3,1,0,0,15,252255,1,0,0
42,65,1,2022-01-01,24,560633,76560,12,0,0,0.493,0.593,781,2,1,0,0,6,310063,0,0,0
42,66,2,2022-11-01,24,557993,88820,10,1,1,0.442,0.368,739,2,0,1,0,6,183213,8,0,0
43,67,1,2022-01-01,63,222506,166841,16,9,1,0.536,0.279,797,1,0,1,0,0,82470,14,0,0
43,68,2,2022-10-01,63,213223,322563,21,10,0,0.326,0.355,778,2,1,0,0,0,76312,26,0,0
44,69,1,2022-01-01,63,540580,39924,43,5,0,0.143,0.4,679,3,0,1,0,3,74620,11,0,0
45,70,1,2022-01-01,42,405850,191366,29,3,0,0.532,0.298,751,2,1,0,0,9,78084,4,0,0
45,71,2,2022-05-02,42,376120,208229,32,2,0,0.482,0.334,739,2,1,0,0,9,112788,1,0,0
46,72,1,2022-01-01,41,301233,185540,12,4,0,0.437,0.648,586,3,0,1,0,2,42785,11,0,0
46,73,2,2022-08-01,41,310408,218767,8,6,0,0.558,0.633,625,3,1,0,0,2,80704,13,1,0
47,74,1,2022-01-01,45,179319,422797,9,7,1,0.217,0.539,680,3,0,1,0,0,11779,18,0,0
48,75,1,2022-01-01,62,650417,38484,65,5,0,0.394,0.717,777,2,1,0,0,3,41593,13,1,0
49,76,1,2022-01-01,33,327483,30845,21,3,0,0.49,0.078,737,2,0,1,0,2,241627,0,0,0
49,77,2,2022-06-02,33,327773,34472,18,3,1,0.533,0.262,738,2,0,1,0,2,150601,0,0,0
50,78,1,2022-01-01,36,214253,357465,54,6,0,0.311,0.583,654,3,0,1,0,8,60634,4,0,0
51,79,1,2022-01-01,42,420517,138967,66,7,1,0.471,0.032,627,3,1,0,0,2,104142,1,0,0
52,80,1,2022-01-01,38,198839,444809,75,1,0,0.351,0.323,693,2,0,1,0,5,389693,13,1,0
53,81,1,2022-01-01,50,722935,182708,71,2,0,0.265,0.37,753,2,1,0,0,4,306653,16,0,0
53,82,2,2022-09-01,50,752835,208088,75,3,0,0.399,0.371,782,2,1,0,0,4,419296,13,0,1
54,83,1,2022-01-01,26,211169,29683,64,3,0,0.0,0.342,650,3,0,1,0,4,442700,11,0,0
54,84,2,2022-07-02,26,225327,34039,70,4,0,0.145,0.521,646,3,0,1,0,4,470446,15,0,0
55,85,1,2022-01-01,37,443134,86503,43,0,0,0.432,0.092,616,3,0,1,0,7,137552,1,0,0
55,86,2,2022-11-01,37,469155,54134,36,0,0,0.205,0.0,588,3,1,0,0,7,53023,16,0,1
56,87,1,2022-01-01,29,611477,80827,7,6,0,0.671,0.0,596,3,1,0,0,4,60981,10,1,0
56,88,2,2022-09-01,29,574745,82776,17,7,0,0.813,0.149,640,3,0,1,0,4,60827,3,1,0
57,89,1,2022-01-01,38,485492,29203,50,1,0,0.381,0.298,683,3,1,0,0,3,57952,15,0,0
58,90,1,2022-01-01,22,402664,216919,28,10,0,0.279,0.461,639,3,1,0,0,5,121577,17,0,0
59,91,1,2022-01-01,30,319592,86900,52,0,0,0.174,0.2,586,3,1,0,0,4,74571,11,0,0
60,92,1,2022-01-01,22,274743,52594,78,3,1,0.706,0.258,646,3,1,0,0,13,874007,2,0,0
61,93,1,2022-01-01,27,240055,139621,28,0,0,0.748,0.343,571,4,0,1,0,4,12160,6,1,0
61,94,2,2022-08-01,27,270973,96001,34,0,0,0.572,0.628,566,4,1,0,0,4,12194,10,1,0
62,95,1,2022-01-01,32,561180,106072,39,4,1,0.446,0.227,559,4,1,0,0,10,40134,0,0,0
63,96,1,2022-01-01,38,882709,267958,66,10,1,0.146,0.63,636,3,0,1,0,5,132649,11,0,0
64,97,1,2022-01-01,37,919661,416011,81,7,1,0.173,0.735,687,2,1,0,0,5,295260,8,0,1
64,98,2,2022-10-01,37,848714,338768,74,6,0,0.179,0.45,645,3,1,0,0,5,264292,0,0,0
65,99,1,2022-01-01,53,238264,154030,15,7,0,0.388,0.072,799,1,0,1,0,5,149677,5,1,0
65,100,2,2022-08-01,53,247983,136131,7,7,1,0.414,0.0,750,2,1,0,0,5,159548,16,0,0
66,101,1,2022-01-01,62,297303,39354,17,6,0,0.186,0.4,681,3,1,0,0,11,99668,22,0,1
67,102,1,2022-01-01,69,302083,511726,15,2,0,0.208,0.367,595,3,1,0,0,7,76656,6,0,0
68,103,1,2022-01-01,68,181067,218765,44,3,1,0.245,0.337,568,4,1,0,0,4,62127,3,0,0
69,104,1,2022-01-01,41,186053,59685,66,2,1,0.04,0.359,629,3,1,0,0,6,75921,12,0,0
70,105,1,2022-01-01,58,309727,236822,70,4,1,0.061,0.295,631,3,0,1,0,9,74687,9,0,1
71,106,1,2022-01-01,54,631506,303399,24,2,1,0.67,0.766,727,2,1,0,0,5,81790,4,0,0
72,107,1,2022-01-01,55,364849,293595,25,6,0,0.528,0.074,686,2,1,0,0,0,336727,6,0,1
73,108,1,2022-01-01,41,327463,143271,20,7,0,0.124,0.22,696,2,1,0,0,3,57320,4,0,0
73,109,2,2022-06-02,41,371849,186107,19,7,0,0.263,0.305,731,2,0,1,0,3,35721,4,0,0
74,110,1,2022-01-01,69,308935,221367,34,9,0,0.323,0.283,634,3,1,0,0,2,292144,2,0,0
75,111,1,2022-01-01,59,490333,628475,77,9,0,0.864,0.276,799,1,1,0,0,3,192698,4,0,0
76,112,1,2022-01-01,38,468950,72647,55,3,1,0.503,0.356,754,2,0,1,0,3,25740,11,0,0
77,113,1,2022-01-01,47,181720,132730,57,0,0,0.208,0.398,709,2,0,1,0,2,254591,13,0,0
78,114,1,2022-01-01,26,440470,145523,68,10,0,0.327,0.263,685,2,0,1,0,4,919997,1,0,0
78,115,2,2022-06-02,26,472027,84318,80,9,0,0.363,0.367,684,3,1,0,0,4,1044617,5,0,0
79,116,1,2022-01-01,38,326416,187458,10,7,0,0.399,0.494,739,2,0,1,0,13,65455,8,0,0
80,117,1,2022-01-01,55,383980,155039,39,3,1,0.253,0.309,651,3,0,1,0,2,33512,9,0,0
80,118,2,2022-07-02,55,381942,205651,38,1,0,0.187,0.194,631,3,0,1,0,2,22121,6,0,0
81,119,1,2022-01-01,52,457388,98433,32,2,0,0.359,0.377,624,3,0,1,0,9,52073,18,0,0
81,120,2,2022-09-01,52,467105,130190,30,3,1,0.235,0.463,634,3,1,0,0,9,48916,8,0,1
82,121,1,2022-01-01,66,379672,128935,85,1,0,0.685,0.209,698,2,1,0,0,4,96854,7,0,0
83,122,1,2022-01-01,67,246432,249998,62,0,2,0.015,0.434,658,3,1,0,0,10,385104,3,0,0
83,123,2,2022-08-01,67,245136,314122,63,0,1,0.0,0.386,627,3,1,0,0,10,351035,11,0,0
84,124,1,2022-01-01,44,339386,35973,7,7,1,0.544,0.0,613,3,0,1,0,11,305382,17,0,0
85,125,1,2022-01-01,66,186640,45371,15,5,1,0.476,0.0,784,2,1,0,0,8,378549,4,1,0
86,126,1,2022-01-01,34,324659,79970,8,6,0,0.613,0.4,709,2,1,0,0,2,56689,9,0,0
87,127,1,2022-01-01,50,187054,78539,9,11,0,0.399,0.0,672,3,1,0,0,2,13789,9,0,0
87,128,2,2022-08-01,50,185114,78117,10,10,2,0.404,0.006,676,3,1,0,0,2,86667,7,0,0
88,129,1,2022-01-01,64,390266,32105,8,8,0,0.231,0.517,664,3,1,0,0,9,29020,5,0,0
89,130,1,2022-01-01,23,649281,101446,59,6,2,0.0,0.329,729,2,0,1,0,3,79304,12,0,0
90,131,1,2022-01-01,22,259435,79189,15,11,0,0.124,0.37,541,4,1,0,0,5,55944,0,0,0
91,132,1,2022-01-01,68,294268,120955,61,9,0,0.416,0.03,618,3,1,0,0,6,37143,3,0,0
92,133,1,2022-01-01,46,152718,19052,31,6,0,0.49,0.557,796,1,0,1,0,8,419975,1,0,0
92,134,2,2022-07-02,46,163541,11214,34,6,0,0.423,0.321,789,2,0,1,0,8,483102,9,0,0
93,135,1,2022-01-01,49,384719,126073,69,7,0,0.492,0.377,634,3,1,0,0,4,18534,3,1,0
94,136,1,2022-01-01,62,366436,292752,58,10,0,0.0,0.572,652,3,1,0,0,1,508839,7,0,0
95,137,1,2022-01-01,38,336924,98405,64,10,0,0.254,0.794,695,2,0,1,0,10,44974,1,0,0
96,138,1,2022-01-01,60,147907,120860,45,5,1,0.319,0.376,748,2,1,0,1,8,74967,8,0,0
96,139,2,2022-07-02,60,153436,106931,47,5,0,0.219,0.143,707,2,1,0,1,8,56754,5,0,0
97,140,1,2022-01-01,34,263086,57810,77,4,0,0.148,0.495,819,1,0,1,0,10,50628,7,0,0
98,141,1,2022-01-01,55,159549,139338,11,9,1,0.226,0.131,741,2,1,0,0,3,169446,2,0,0
99,142,1,2022-01-01,53,633618,374443,41,7,0,0.676,0.466,677,3,0,1,1,6,98971,0,1,0
100,143,1,2022-01-01,52,565034,72974,19,1,0,0.361,0.482,557,4,0,1,0,5,205528,9,0,0
100,144,2,2022-09-01,52,595881,56090,20,1,0,0.172,0.511,530,4,0,1,0,5,185820,13,1,0
100,145,3,2022-12-31,53,661022,83946,20,0,0,0.336,0.454,562,4,0,1,0,6,127145,10,0,0
101,146,1,2022-01-01,62,309135,84911,65,9,1,0.382,0.339,635,3,0,1,1,5,31256,6,0,0
101,147,2,2022-07-02,62,330926,111053,58,9,3,0.376,0.186,675,3,1,0,1,5,43197,0,0,0
101,148,3,2022-09-01,62,353222,114209,61,10,1,0.485,0.442,646,3,1,0,1,5,64004,12,0,0
102,149,1,2022-01-01,37,947890,775743,61,3,1,0.646,0.152,607,3,0,1,0,5,96168,6,0,0
102,150,2,2022-10-01,37,985544,590875,67,4,0,0.565,0.215,616,3,1,0,0,5,55627,0,0,0
103,151,1,2022-01-01,48,334433,56542,69,2,2,0.463,0.23,616,3,1,0,1,4,109511,0,0,1
104,152,1,2022-01-01,52,368167,73231,49,10,0,0.738,0.062,626,3,1,0,0,14,11300,14,0,1
104,153,2,2022-10-01,52,326715,67888,48,10,0,0.613,0.215,625,3,1,0,0,14,46983,17,0,0
104,154,3,2023-09-01,53,357087,63806,49,10,1,0.485,0.377,605,3,1,0,0,15,24045,16,0,0
105,155,1,2022-01-01,68,284124,112966,42,0,2,0.487,0.46,677,3,0,1,0,8,79951,6,0,0
105,156,2,2022-06-02,68,251817,230919,42,0,0,0.598,0.406,703,2,1,0,0,8,62913,12,0,0
106,157,1,2022-01-01,40,308405,200305,77,3,1,0.687,0.191,727,2,1,0,0,6,144825,0,0,0
106,158,2,2022-07-02,40,343525,159753,78,3,1,0.729,0.351,750,2,0,1,0,6,69688,3,0,0
107,159,1,2022-01-01,55,342753,22027,47,8,1,0.287,0.166,648,3,0,1,0,10,485106,5,0,0
108,160,1,2022-01-01,28,446820,151571,14,2,0,0.434,0.174,688,2,0,1,0,6,215576,1,0,0
109,161,1,2022-01-01,27,263211,420663,18,1,1,0.13,0.179,747,2,1,0,0,3,90540,1,0,0
110,162,1,2022-01-01,62,251005,55446,63,7,1,0.289,0.283,737,2,0,1,0,4,413442,34,0,0
110,163,2,2022-09-01,62,246877,38309,64,6,0,0.413,0.094,718,2,1,0,0,4,329036,25,0,0
110,164,3,2023-09-01,63,246643,65692,59,7,0,0.386,0.362,730,2,1,0,0,5,226544,24,0,0
111,165,1,2022-01-01,62,728483,265964,56,9,0,0.406,0.0,632,3,1,0,0,1,155459,8,0,1
112,166,1,2022-01-01,21,459578,80074,7,8,1,0.528,0.143,697,2,0,1,0,8,38796,2,0,0
113,167,1,2022-01-01,64,361788,139057,38,2,0,0.371,0.888,703,2,1,0,0,8,58759,6,0,0
114,168,1,2022-01-01,63,208787,121242,84,6,0,0.321,0.227,731,2,1,0,0,6,21440,18,0,0
115,169,1,2022-01-01,46,219454,454609,56,4,0,0.099,0.098,666,3,0,1,0,6,96871,14,0,1
116,170,1,2022-01-01,27,395338,50981,37,8,0,0.212,0.33,657,3,1,0,0,6,153028,10,0,0
116,171,2,2022-10-01,27,408792,55185,38,7,0,0.278,0.43,621,3,1,0,0,6,128600,7,0,0
117,172,1,2022-01-01,34,323965,73429,42,11,0,0.491,0.097,743,2,1,0,0,5,314156,7,0,0
117,173,2,2022-06-02,34,328879,68276,44,10,0,0.519,0.019,727,2,0,1,0,5,489397,0,0,0
118,174,1,2022-01-01,22,99615,705760,8,9,0,0.545,0.163,704,2,0,1,0,5,62647,14,0,1
118,175,2,2022-07-02,22,113492,767671,12,8,0,0.199,0.0,746,2,1,0,0,5,33360,10,0,0
119,176,1,2022-01-01,57,384157,96243,32,8,0,0.142,0.0,548,4,1,0,0,6,39855,3,0,0
120,177,1,2022-01-01,40,346960,272934,8,3,0,0.32,0.661,582,3,0,1,0,2,74041,7,0,1
120,178,2,2022-09-01,40,336228,205699,14,4,0,0.471,0.695,557,4,0,1,0,2,68145,12,1,0
121,179,1,2022-01-01,51,328721,236166,18,5,0,0.22,0.486,662,3,1,0,0,10,185318,15,0,0
122,180,1,2022-01-01,21,333319,196607,46,5,0,0.329,0.652,664,3,0,1,0,11,71974,13,0,0
122,181,2,2022-11-01,21,318330,127076,53,6,0,0.075,0.56,661,3,1,0,0,11,126480,14,0,0
123,182,1,2022-01-01,50,354460,195278,12,8,1,0.418,0.778,673,3,0,1,0,14,17646,0,0,0
124,183,1,2022-01-01,21,441216,195726,42,2,0,0.543,0.72,761,2,0,1,0,6,34031,0,0,0
125,184,1,2022-01-01,30,134417,127280,58,7,2,0.359,0.204,783,2,1,0,0,15,89756,11,0,0
126,185,1,2022-01-01,29,291353,238095,47,7,0,0.24,0.737,661,3,1,0,0,6,50989,13,0,1
127,186,1,2022-01-01,60,242009,176887,41,8,0,0.237,0.038,729,2,1,0,0,0,166458,2,0,0
128,187,1,2022-01-01,61,110817,64921,55,8,1,0.199,0.502,639,3,1,0,0,6,43039,20,0,0
129,188,1,2022-01-01,68,282453,98844,13,5,0,0.14,0.38,668,3,0,1,1,5,237840,0,0,1
130,189,1,2022-01-01,56,384805,199627,32,8,1,0.529,0.573,648,3,0,1,0,4,46394,2,0,0
131,190,1,2022-01-01,31,307563,148178,45,3,0,0.186,0.0,651,3,1,0,0,6,177250,11,0,0
132,191,1,2022-01-01,50,1076479,179284,43,2,0,0.137,0.347,609,3,1,0,0,4,147555,8,0,0
132,192,2,2022-08-01,50,1090347,136332,51,2,0,0.393,0.478,618,3,0,1,0,4,246871,8,0,0
132,193,3,2023-07-02,51,1056364,225155,44,2,0,0.243,0.564,631,3,1,0,0,5,144302,12,0,0
133,194,1,2022-01-01,60,309001,192560,26,10,1,0.505,0.429,641,3,0,1,0,6,27655,0,1,0
134,195,1,2022-01-01,32,359770,289036,65,11,0,0.613,0.209,745,2,1,0,0,7,146478,2,0,1
135,196,1,2022-01-01,50,393712,121935,74,2,0,0.138,0.406,728,2,1,0,0,0,50482,3,0,0
136,197,1,2022-01-01,47,292327,222643,17,11,0,0.148,0.495,710,2,0,1,1,7,132001,19,0,0
137,198,1,2022-01-01,65,447106,22860,27,0,1,0.407,0.247,757,2,1,0,0,6,14377,1,0,0
137,199,2,2022-11-01,65,517975,23418,24,1,0,0.185,0.003,746,2,1,0,0,6,46053,0,0,0
137,200,3,2023-05-02,66,487966,43528,30,0,0,0.466,0.207,780,2,0,1,0,7,75845,7,0,0
138,201,1,2022-01-01,22,358379,46431,49,4,1,0.262,0.126,679,3,1,0,0,7,664642,11,0,0
139,202,1,2022-01-01,56,212846,715753,68,5,1,0.447,0.732,685,2,1,0,0,4,8247,13,0,0
139,203,2,2022-06-02,56,235469,529803,58,5,1,0.415,0.646,699,2,0,1,0,4,15555,3,1,0
140,204,1,2022-01-01,69,582016,29596,56,0,1,0.211,0.0,697,2,0,1,0,2,531723,0,0,0
141,205,1,2022-01-01,56,325020,31496,25,5,0,0.222,0.204,823,1,1,0,0,4,121738,0,0,0
142,206,1,2022-01-01,52,119255,167015,23,3,0,0.363,0.01,635,3,0,1,0,0,33954,15,0,0
143,207,1,2022-01-01,68,431823,63919,87,1,1,0.874,0.188,682,3,0,1,1,5,36221,10,0,0
143,208,2,2022-11-01,68,455841,110580,83,0,0,0.779,0.221,651,3,1,0,1,5,75316,3,0,0
143,209,3,2023-05-02,69,491135,62767,81,1,0,0.642,0.23,681,3,1,0,1,6,60089,4,0,0
144,210,1,2022-01-01,29,462178,224404,57,6,1,0.408,0.213,732,2,0,1,0,10,54216,9,1,0
145,211,1,2022-01-01,66,257082,72045,41,1,0,0.238,0.588,677,3,1,0,0,3,19245,0,0,0
146,212,1,2022-01-01,58,228892,100279,13,9,1,0.07,0.303,644,3,1,0,0,7,24140,8,0,0
147,213,1,2022-01-01,52,251549,73595,27,8,0,0.189,0.224,640,3,1,0,0,5,64109,4,0,0
148,214,1,2022-01-01,48,361793,138408,40,3,2,0.353,0.485,778,2,1,0,1,3,165523,13,0,0
149,215,1,2022-01-01,32,381120,108075,26,4,1,0.355,0.0,665,3,0,1,0,2,14489,8,0,0
150,216,1,2022-01-01,23,199381,172812,23,6,0,0.92,0.114,662,3,0,1,0,0,53687,4,0,0
151,217,1,2022-01-01,34,221002,115752,46,3,0,0.204,0.046,656,3,0,1,0,13,3827,13,1,0
151,218,2,2022-05-02,34,223592,130314,43,1,0,0.309,0.063,680,3,0,1,0,13,6337,3,0,1
152,219,1,2022-01-01,48,522221,31755,25,10,1,0.402,0.602,591,3,1,0,0,0,53596,0,1,0
152,220,2,2022-11-01,48,499257,38188,27,10,0,0.374,0.629,607,3,0,1,0,0,92718,1,0,0
153,221,1,2022-01-01,43,154835,47707,66,2,1,0.429,0.173,689,2,0,1,0,7,51965,2,0,0
154,222,1,2022-01-01,45,255803,166969,80,10,1,0.154,0.054,789,2,1,0,0,7,9148,5,0,1
155,223,1,2022-01-01,55,382724,80458,28,5,0,0.194,0.235,675,3,1,0,0,12,108255,3,1,0
156,224,1,2022-01-01,32,172849,231354,65,6,1,0.526,0.323,678,3,0,1,0,7,49423,8,0,0
156,225,2,2022-08-01,32,157991,349321,61,5,1,0.594,0.226,687,2,0,1,0,7,28919,3,0,1
157,226,1,2022-01-01,52,764813,42426,79,9,0,0.381,0.065,560,4,1,0,0,12,22840,5,0,0
158,227,1,2022-01-01,22,285739,82187,82,1,1,0.297,0.37,616,3,1,0,0,2,34742,0,0,0
158,228,2,2022-06-02,22,306910,87836,84,0,0,0.11,0.394,638,3,0,1,0,2,85872,9,0,0
159,229,1,2022-01-01,26,432975,102645,42,11,0,0.516,0.308,777,2,0,1,0,5,11939,2,0,0
159,230,2,2022-05-02,26,466933,94542,34,11,1,0.361,0.428,780,2,1,0,0,5,21783,0,1,0
160,231,1,2022-01-01,51,138327,126279,56,0,1,0.831,0.595,586,3,1,0,0,1,452966,4,0,0
160,232,2,2022-05-02,51,143842,140153,50,1,2,0.683,0.611,625,3,1,0,0,1,462170,11,0,1
161,233,1,2022-01-01,32,371715,35369,86,8,1,0.089,0.099,678,3,0,1,0,8,425381,5,0,0
162,234,1,2022-01-01,30,1333987,48100,18,8,1,0.297,0.359,494,4,1,0,0,11,74588,0,0,1
162,235,2,2022-06-02,30,1421854,112298,13,8,1,0.455,0.163,503,4,1,0,0,11,44127,3,0,0
162,236,3,2023-09-01,31,1401468,91871,16,8,1,0.251,0.314,550,4,0,1,0,12,70610,0,0,0
163,237,1,2022-01-01,55,139149,131400,41,6,1,0.787,0.566,765,2,0,1,0,9,410917,0,0,0
164,238,1,2022-01-01,44,369191,174904,33,8,0,0.0,0.441,778,2,0,1,0,12,84484,5,0,0
165,239,1,2022-01-01,33,162297,53454,28,1,0,0.646,0.622,694,2,1,0,0,0,54374,8,0,0
166,240,1,2022-01-01,25,199269,37865,22,9,0,0.636,0.035,709,2,1,0,0,11,91760,9,1,0
167,241,1,2022-01-01,25,258117,141854,15,9,2,0.778,0.12,747,2,0,1,0,8,124081,13,0,0
167,242,2,2022-06-02,25,266709,217615,14,8,2,0.489,0.325,771,2,1,0,0,8,98944,15,0,0
168,243,1,2022-01-01,44,232672,80242,12,11,0,0.16,0.0,850,1,0,1,0,9,452490,20,0,0
168,244,2,2022-05-02,44,220663,178807,14,12,0,0.525,0.103,839,1,0,1,0,9,36879,12,0,0
169,245,1,2022-01-01,22,277396,10000,25,4,0,0.603,0.522,623,3,0,1,0,6,26623,12,0,0
